[jnyz-app/server]2024/05/19 - 22:13:17.141	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:13:43.887	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:13:43.911	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:13:43.936	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:14:00.874	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:14:00.900	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:14:00.932	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:14:26.216	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:14:26.294	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:14:26.336	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:14:43.735	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:14:43.868	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:14:43.890	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:15:26.879	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:15:26.987	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:15:27.062	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:15:32.177	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:15:32.209	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:15:32.256	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:17:06.301	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:17:06.501	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:17:06.527	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:17:22.504	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:17:22.595	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:17:22.629	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:18:27.397	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:18:27.450	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:18:27.480	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:18:54.458	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:18:54.560	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:18:54.645	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:20:04.718	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:20:04.816	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:20:04.918	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:30:43.735	[31merror[0m	/home/amos/repo/jnyz-app/server/core/server.go:49	accept tcp [::]:9999: use of closed network connection
[jnyz-app/server]2024/05/19 - 22:33:08.180	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:46	查询失败!	{"error": "record not found"}
[jnyz-app/server]2024/05/19 - 22:33:08.183	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_sub.go:43	查询失败!	{"error": "record not found"}
[jnyz-app/server]2024/05/19 - 22:33:08.189	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_loan_sub.go:46	查询失败!	{"error": "record not found"}
[jnyz-app/server]2024/05/19 - 22:33:08.210	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:46	查询失败!	{"error": "record not found"}
[jnyz-app/server]2024/05/19 - 23:06:22.637	[31merror[0m	/home/amos/repo/jnyz-app/server/core/server.go:49	accept tcp [::]:9999: use of closed network connection
